sample_id,ticket_date,person_id,区县地址,街道地址,mapped_l1_name,mapped_l2_name,是否回访,问题是否解决,是否热点,承办单位,text_subject_id,text_subject_type,text_place_id,text_place_type,address_id,has_address_id,has_text_place_id,has_text_subject_id,sanitized_text,person_total_complaints,address_total_complaints
1,2024-05-01,P00140,乙区,乙区-街道3,主题大类4,主题小类4-1,否,是,否,承办单位C,TS00011,主体类型1,TP00098,地点类型3,A00048,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0001。,1,2
2,2024-05-03,P00001,甲区,甲区-街道2,主题大类3,主题小类3-2,是,是,否,承办单位A,,,TP00122,地点类型5,A00057,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0002。,19,3
3,2024-05-13,P00205,乙区,乙区-街道3,主题大类1,主题小类1-1,否,否,否,承办单位C,TS00034,主体类型2,TP00131,地点类型5,A00001,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-1，样例编号：0003。,3,22
4,2024-03-21,P00030,乙区,乙区-街道2,主题大类4,主题小类4-2,否,是,否,承办单位D,,,,,A00033,1,0,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0004。,1,2
5,2024-03-10,P00135,丙区,丙区-街道1,主题大类4,主题小类4-2,否,否,否,承办单位E,TS00032,主体类型3,TP00062,地点类型2,A00094,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0005。,1,3
6,2024-03-11,,乙区,乙区-街道3,主题大类1,主题小类1-2,是,是,否,承办单位E,TS00062,主体类型4,TP00165,地点类型1,A00038,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0006。,0,5
7,2024-04-22,P00005,丙区,丙区-街道2,主题大类1,主题小类1-2,是,否,否,承办单位A,TS00014,主体类型3,TP00122,地点类型3,A00001,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0007。,7,22
8,2024-04-06,P00005,丙区,丙区-街道3,主题大类4,主题小类4-2,否,否,是,承办单位D,TS00057,主体类型3,TP00023,地点类型3,A00098,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-2，样例编号：0008。,7,5
9,2024-04-17,,甲区,甲区-街道3,主题大类2,主题小类2-1,否,否,否,承办单位C,TS00015,主体类型2,TP00155,地点类型1,A00028,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-1，样例编号：0009。,0,4
10,2024-04-04,P00010,乙区,乙区-街道2,主题大类2,主题小类2-2,否,否,否,承办单位D,TS00023,主体类型3,TP00178,地点类型4,A00084,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类2-2，样例编号：0010。,6,3
11,2024-03-17,P00067,乙区,乙区-街道2,主题大类3,主题小类3-2,否,否,否,承办单位E,TS00096,主体类型2,TP00027,地点类型2,A00009,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类3-2，样例编号：0011。,1,9
12,2024-05-08,P00150,乙区,乙区-街道1,主题大类4,主题小类4-1,是,否,否,承办单位E,TS00121,主体类型3,TP00137,地点类型3,A00119,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0012。,2,3
13,2024-05-08,P00238,丙区,丙区-街道3,主题大类1,主题小类1-1,否,否,否,承办单位B,TS00108,主体类型4,TP00032,地点类型1,A00058,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-1，样例编号：0013。,2,6
14,2024-05-14,P00001,乙区,乙区-街道1,主题大类1,主题小类1-2,否,否,否,承办单位D,,,TP00017,地点类型3,A00071,1,1,0,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-2，样例编号：0014。,19,4
15,2024-05-07,P00004,丙区,丙区-街道2,主题大类4,主题小类4-1,否,否,是,承办单位A,TS00075,主体类型3,TP00183,地点类型4,A00091,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类4-1，样例编号：0015。,7,3
16,2024-03-25,P00040,丙区,丙区-街道2,主题大类1,主题小类1-1,是,是,否,承办单位D,TS00141,主体类型1,TP00124,地点类型4,A00117,1,1,1,这是合成样例文本，仅用于演示去标识化风险流程，不含任何真实诉求信息。样例主题：主题小类1-1，样例编号：0016。,7,3
